ObjID,image_id,trail_length,snr,n_cand,pmax,truth_score_rf
K25F28Z,96,9.612382115146588,3.4362678430678093,8,0.9876761436462402,0.030316645075540303
K25F28Z,210,9.794496677203378,5.015826148016036,9,0.9948493838310242,0.08144265763384537
K25F28Z,209,9.7874438484953,4.208756991136769,19,0.1127076968550682,
K25F28Z,202,9.800335853384311,3.84935617669596,10,0.4745939373970032,
K25F28Z,207,9.785608680332764,4.173204329591472,25,0.0019246049923822284,
K25F28Z,197,9.79387315805744,3.24777350378528,11,0.0011133443331345916,
K25F28Z,212,9.789099680889,2.674006429005928,12,0.0006161101046018302,
K25F28Z,206,9.79962230594629,3.3041924442817185,8,0.02597173862159252,
K21G12Z,248,6.940499038215734,3.0397279568095903,5,0.00031233459594659507,
K25F20L,254,9.13106938779234,2.381864143551192,10,0.011741246096789837,
K25F20L,256,9.132552684101398,2.255102544112851,11,0.0021321717649698257,
K25F20L,252,9.161232708584228,2.8066451743003125,9,0.9969147443771362,0.13596488582345106
K25F20L,277,7.292731852907838,4.2308861165651415,13,0.9951798915863037,0.19885092362834647
K25F20L,311,6.582523264694413,7.62363304262598,8,0.993838906288147,0.11912789930399811
K25F20L,305,6.583083281963455,9.832728524546615,12,0.9468896985054016,0.039402366166061034
K25F20L,291,6.592880201991045,4.113967194858302,7,0.9980875253677368,0.12065241769602617
K25F20L,308,8.35086219058623,2.6664569252149395,5,0.9974390864372253,0.18653737981759505
K25F20L,289,8.359801875199393,2.574741616820809,6,0.0009777408558875322,
K25F20L,288,8.366290892602587,2.9946191725163214,9,0.9960964322090149,0.06853977665602888
K20M02Y,354,10.18521172307774,2.6161800299351707,5,0.91350257396698,0.010888164421026612
K20M02Y,338,12.911876385326396,2.848353185850052,11,0.0001419320615241304,
K20M02Y,369,10.218701482366166,2.0509151800046244,7,0.0010142311220988631,
K11UJ2Y,384,26.302002640555664,2.2371597746880907,2,0.00020234180556144565,
K20M02Y,399,10.248966284706547,2.3900722396007485,3,0.3461555242538452,
K20P02Y,425,8.542142173951127,3.5069127078952915,11,0.0001562542311148718,
K20P02Y,428,8.542693771786576,2.7349870703664383,12,0.0002831095189321786,
K20P02Y,466,8.546620537339368,3.5413317611316355,6,0.4130573868751526,
K20P02Y,512,8.550105234581576,2.187737259619155,0,,
K24W02L,533,11.016461003726429,2.11106470379373,11,0.2455630898475647,
K24W02L,574,10.900463794913534,2.0035451930981387,6,0.006332601886242628,
K24W02L,572,10.891820052196524,2.2005407183442,5,0.0020330995321273804,
K22M01M,603,10.43332048981149,2.1032650889842226,11,0.9728038311004639,0.03076259288769572
K22M01M,604,10.422051987474523,5.142539950076793,3,0.0019141685916110873,
K22M01M,605,10.405104625863048,3.430633775134979,6,0.035429563373327255,
K22M01M,602,10.43576489682018,3.2981419176430973,3,0.9920637607574463,0.02911373101168619
K13Y38E,608,11.27357998068063,3.359264118686092,11,0.8601982593536377,0.03458454186416605
K08X02B,707,12.34881483661087,2.3562673099469973,9,0.00019962165970355272,
K20X02O,735,10.220264466,2.433146394542598,5,0.008541745133697987,
K25N01T,749,6.560612812198926,6.560754022432057,4,0.8782302737236023,0.03770263252522876
K21T13V,800,6.943627657191837,4.636554576463863,6,0.0018730516312643886,
K18A04G,839,6.843264969259232,4.873219256988988,0,,
K25N00K,888,8.656088864272773,2.292199484936755,7,0.9909565448760986,0.1812450421292948
K25M89D,876,35.3198931500674,3.4221372827693304,11,0.9994473457336426,0.20692674505019062
K25N00T,881,24.698979152344613,4.5240356996644,11,0.9988739490509033,0.45978746463753745
K25N00T,887,24.67616442237012,2.494345098431553,6,0.9980352520942688,0.3236564521794269
K18B01J,917,15.589531098945258,4.856080642100495,9,0.00252980156801641,
K17O19M,914,6.905613952992862,2.152603302395514,7,0.011678784154355526,
K25O02D,948,13.069964862250147,7.270977208840898,5,0.49031561613082886,0.05060310911165385
K25O04L,931,10.810647038875324,7.190622568313992,10,0.6855894327163696,0.016275819872302262
K22Y06N,962,8.580182409053599,7.324656284557051,18,0.9497664570808411,0.03305692147699239
K25N02Y,950,17.286733322727784,2.6202546540064944,5,0.4848516583442688,
K25N02Y,976,17.199968693958564,2.3428312156138635,5,0.0072882394306361675,
K20B05A,982,6.351849908974587,2.3124740182957733,5,0.0012045629555359483,
K20M02P,1041,9.920353127782306,5.650611614656108,8,0.003322429256513715,
K17W13W,1036,6.459669883406432,3.861217590164511,5,0.0015152955893427134,
K18B06Y,1112,26.65957637350924,7.395745896043129,0,,
K16X18H,1250,6.337895160204547,2.142851732476506,7,0.002413372276350856,
K23Y01O,1249,6.728719471670107,4.197735428013516,4,0.9964687824249268,0.1798422367930935
K25O09V,1283,12.481756843838784,2.2424481348269305,0,,
K18P22D,1296,12.644488912115651,4.346497976385395,12,0.99835205078125,0.1695034553743254
K18P22D,1281,12.613701351700726,6.201342199707135,14,0.9265375733375549,0.04171090442000261
K23Y01O,1328,6.77129476263638,2.782883409334584,7,0.06215094029903412,
K18B05J,1330,9.741146837407843,3.595238629192903,9,0.9775893688201904,0.05863133128487145
K25F23V,1351,10.747085198459525,4.357474000046198,6,0.0005634197732433677,
K25O07Y,1361,15.7978872949736,3.0607953428809567,3,0.0003539225726854056,
K22P20K,1379,6.443833508067038,8.186346831592328,6,0.1812560260295868,
K22P20K,1436,8.851945337629989,5.309059481839164,3,0.07658688724040985,
K22P20K,1439,8.900502668251452,4.804982687566695,6,0.9984833598136902,0.22849915433817392
K22P20K,1449,8.882974185975678,3.220448874133534,6,0.011161846108734608,
K22P20K,1455,8.895974413388972,4.031388382890127,4,0.9911892414093018,0.05519624612176431
K25M00V,1522,9.46139095950886,2.487680204530744,3,0.997504472732544,0.22868725277351262
K25O02E,1530,8.800864085168763,3.5179884066429072,1,0.9777535796165466,0.11480896636833042
K25N01U,1616,8.485565125166266,4.189973903754665,5,0.9411721229553223,0.04422952789753165
K25O01D,1615,9.720905928356396,4.346343054793295,5,0.9977629780769348,0.15189434205794097
K25O11L,1614,21.54698420119857,2.119630217428474,7,0.995927631855011,0.0712175236627171
K25O09W,1704,9.586423887017162,3.405868513072758,11,0.9973635077476501,0.07470928005177452
K25D49K,1716,8.516184232317078,2.7995317997911813,7,0.008674846030771732,
K25P00H,1726,9.724245421741967,6.097567054184505,7,0.05912578105926514,
K17D15S,1739,6.578492383119003,3.5693279153940964,7,0.9413474798202515,0.0903331716524184
K22P00J,1753,8.538049272798006,3.988115783964299,8,0.9980936646461487,0.2647945467050244
K23B08P,1767,14.551230532398757,2.295130975765052,7,0.10688181966543198,
K18B05E,1789,15.26292097340304,3.642974079493121,3,0.9912895560264587,0.1227401135676352
K25O09W,1773,8.114379863760975,7.92568892784373,5,0.4761117398738861,
K25O01U,1807,26.97886640193469,9.648053656396996,0,,
K25O09W,1836,8.319296391189527,3.289881371062121,8,0.9885507822036743,0.04977821523719319
K25O09V,1850,13.610059389767931,3.4524642309911107,12,0.04544217512011528,
K25P01B,1852,10.322902782946688,3.2883281920164102,1,0.9994013905525208,0.04975465786735719
K20B05A,1887,7.041348616390051,2.841889167693328,5,0.0011273883283138275,
K25P00K,1868,7.71853301716017,6.161790322481834,10,0.2925240397453308,
K25N01J,1885,6.805312496726567,2.3944966838487947,6,0.0027197059243917465,
K25N01U,1900,8.943638596965693,3.5101669211960465,5,0.5214515924453735,
K25A02H,1889,6.591192616937514,2.890936017307594,2,0.9975970983505249,0.38543344539884405
K25O17H,1934,9.823672426402355,2.028703858469261,8,0.0006982097984291613,
K24O02N,1974,10.28070017097977,7.430076642495658,7,0.8716416954994202,0.1251076606652346
K25O11L,2037,24.55668016827581,2.657889206551359,10,0.9632431864738464,0.027243078026931277
K25N01U,2040,9.070787336483775,2.7790769534039703,3,0.008012421429157257,
K25O09V,2038,12.710608739222412,2.9778380069642494,11,0.3568209707736969,
K25O09V,2036,12.702584905565118,2.124679159684644,9,0.40603792667388916,
K13T04M,2067,15.89490258200262,3.3761764477027745,5,0.4761117398738861,
K14A16B,2084,6.64541364804091,3.2792990444986345,6,0.04892820492386818,
K25O10K,2086,20.01449578047329,4.370185248353274,9,0.015847954899072647,
K19J00M,2144,18.7019319610374,2.1651515700025743,10,0.059540241956710815,
K22P00J,2186,9.728543009068956,8.22074368615693,0,,
K19J00M,2223,13.669169173994968,4.641798130587502,10,0.00016361438611056656,
K19J00M,2242,13.660041664308014,7.205611099266827,11,8.214920671889558e-05,
K19J00M,2252,13.664087966040752,8.134321122684602,3,0.0002529349294491112,
K19J00M,2226,13.64714255776331,3.342207845398934,9,0.000426058832090348,
K19J00M,2228,13.676664182947572,2.3862322861028185,9,0.952038049697876,0.037078808273112114
K19J00M,2240,13.665515457147343,5.735061149590863,9,0.001939601730555296,
K19J00M,2255,13.681530066948886,2.6013492044899205,5,0.000640835496596992,
K19J00M,2241,13.687341324276222,5.704033521771724,6,0.000642061117105186,
K19J00M,2234,13.661169881982213,2.1403204265863205,9,0.00011520479893079028,
K19J00M,2243,13.675747186324902,4.225057178827845,3,0.5573784112930298,0.008120193387316373
K19J00M,2225,13.642408706468183,3.2961302227891665,5,0.0002502460847608745,
K19J00M,2229,13.685039613150808,2.960065603398997,14,0.998938798904419,0.05702955827259472
K25O11L,2320,9.20008957481882,3.1030319000581805,5,0.997590959072113,0.18707928916882516
K25O09P,2382,13.414462934147735,2.088824731633028,3,0.01128158625215292,
K21J01U,2473,6.391386784893463,8.34618289371269,7,0.01636827364563942,
K17Q02F,2499,9.034914441479604,4.771807532160124,11,0.9877598285675049,0.020707292047654598
