feat,imp,med_pos,med_neg,med_real,real_like_neg,score
area,0.010738494337304581,942.5,260.0,562.5,0.5567765567765568,0.005978941902088998
bbox_h,0.005468678205044284,37.0,20.0,30.0,0.4117647058823529,0.0022518086726652934
bbox_w,0.00446864323760434,37.0,20.0,26.0,0.6470588235294118,0.0028914750360969264
aspect,0.00392286823480726,1.4791304347826086,1.4210526315789473,1.3190909090909089,2.7556057024142175,0.00784573646961452
elongation,0.007452376698245788,5.944766694248029,3.793290818292828,3.039148772903358,1.3505231240646143,0.010064607060221236
max_p,0.07199961861311316,0.99951171875,0.8642578125,0.9928752183914185,0.04906697738041516,0.0035328036578881417
mean_p,0.0744963965624534,0.9472185671329498,0.6642756164073944,0.8661936223506927,0.28636495298604697,0.021333157099236878
top5_mean_p,0.08059346580054728,0.99951171875,0.85205078125,0.9917652904987334,0.05253206973044364,0.004233741565252474
integrated_logit,0.04659993070071116,3974.465576171875,174.662353515625,1376.7906494140625,0.6836340659087892,0.03185730009599498
frac_real_label_overlap,0.00011425773286574188,0.0,0.0,0.0,,
mf_snr,0.03667455184845043,4.303387641906738,1.0233702659606934,3.101490020751953,0.36643026039096077,0.013438665583549482
mf_n_line,0.004666044127557375,170.0,88.0,114.0,0.6829268292682927,0.003186566721258695
mf_flux,0.013408726589766991,3260.64990234375,477.31365966796875,1309.31201171875,0.7010787642169738,0.00940057346727712
mf_length,0.006417232534342314,56.03173828125,28.141700744628906,37.45113754272461,0.6662092409925258,0.004275219615976735
lmf_snr_30,0.04757490318022801,4.667649269104004,1.1403214931488037,3.4577064514160156,0.3430196722674393,0.016319127697036966
lmf_flux_30,0.011114834089059524,2620.603515625,595.3629150390625,1211.4129638671875,0.6958138955688075,0.007733856006109485
lmf_snr_60,0.013645505307115254,4.077327251434326,0.9013001322746277,2.7865540981292725,0.4064112581855285,0.005545686980442017
lmf_flux_60,0.00429123640643189,3250.50048828125,663.544921875,1031.4234313964844,0.8577948093509259,0.0036810003151349956
lmf_snr_90,0.01039871944347131,3.4042224884033203,0.7438864707946777,2.2017924785614014,0.4519842613425859,0.004700057526566166
lmf_flux_90,0.003889329182133895,3246.5888671875,658.3091430664062,986.2185974121094,0.8733098650070923,0.0033965895430174966
lmf_snr_120,0.00627442650766474,3.0080740451812744,0.6462454795837402,2.0123992562294006,0.42156945828113973,0.0026451065838610476
lmf_flux_120,0.004149795590067888,3148.46435546875,664.302734375,798.5733642578125,0.9459493179740477,0.00392549630815643
loc_med_z,0.010156905001621868,0.03297900781035423,0.005919876508414745,0.018101220950484248,0.5498250186201675,0.005584520481640017
loc_std_z,0.005508646088582227,1.0287734270095825,1.0207948684692383,1.02950519323349,-0.09171659519789628,0.0
loc_max_z,0.005153649000964854,3.8159594535827637,3.7717342376708984,4.195077657699585,-8.572444391732347,0.0
loc_min_z,0.005345917979801317,-3.6214704513549805,-3.666649103164673,-3.7106658220291138,1.9742813718712564,0.010554346283073359
loc_skew,0.0059146802430048336,0.023817382752895355,0.019165903329849243,0.03576944582164285,-2.569518637345804,0.0
loc_pos_frac,0.0036124714494487078,0.029296875,0.0263671875,0.0279541015625,0.4583333333333333,0.0016557160809973243
loc_neg_frac,0.003736223761268527,0.0234375,0.02392578125,0.024658203125,2.5,0.007472447522537054
loc_sum_z,0.006701711203788793,157.9068145751953,49.69441604614258,123.47097778320312,0.3182244922592377,0.0021326486450937336
