ObjID,image_id,visit,detector,trail_length,lsst_psf_snr,x,y,nn_detected,stack_detected
K25F28Z,96,2025042900336,75,9.612382115146588,3.4362678430678093,165.60960881163305,1598.4428638992297,False,False
K25F28Z,55,2025042900346,31,9.612573300127345,6.282607146002372,1261.9545052372437,2326.652726929933,False,True
K25F28Z,210,2025050100470,180,9.794496677203378,5.015826148016036,3167.47180621844,2304.2842401380467,False,False
K25F28Z,209,2025050100478,143,9.7874438484953,4.208756991136769,3423.7149396569403,1468.1341169972634,False,False
K25F28Z,214,2025050100480,184,9.804970396898156,5.647505598725305,2969.7340888843883,3698.96158172827,False,True
K25F28Z,198,2025050100468,173,9.790455599763852,6.01137624041085,1738.5363614779255,1207.654509807774,False,True
K25F28Z,201,2025050100490,173,9.791307882951864,3.634132860298638,3012.08127702366,3709.560983215516,False,True
K25F28Z,211,2025050100475,150,9.790669132809482,8.122601634383841,1700.9288746815448,3347.120392766625,False,True
K25F28Z,202,2025050100483,184,9.800335853384311,3.84935617669596,241.6411458610611,1979.0543339665849,False,False
K25F28Z,199,2025050100473,180,9.79177055728364,7.894756505080134,273.5725498408224,671.9588081909759,False,True
K25F28Z,207,2025050100503,173,9.785608680332764,4.173204329591472,2107.6974509148645,1640.695940198986,False,False
K25F28Z,205,2025050100508,143,9.782094341855124,5.465884388831008,1411.0231263982091,2349.861743229574,False,True
K25F28Z,213,2025050100500,180,9.788925726317297,4.642311483590438,485.03497222398096,3691.703161800988,False,True
K25F28Z,197,2025050100465,180,9.79387315805744,3.24777350378528,564.392010795053,2829.999410636024,False,False
K25F28Z,212,2025050100493,173,9.789099680889,2.674006429005928,886.0699836227791,1361.213802139926,False,False
K25F28Z,220,2025050100498,172,9.783628048548172,7.031934060868438,3487.9094115390144,1721.181395787675,False,True
K25F28Z,206,2025050100510,186,9.79962230594629,3.3041924442817185,3610.453652992986,1349.2700939174429,False,False
K25F28Z,208,2025050100505,173,9.785705961641886,5.061101177492533,3694.7598754826895,199.74693879496533,False,True
K25F28Z,204,2025050100553,172,9.78008193579508,6.555514766193526,137.7833618835076,2096.976786741007,False,True
K21G12Z,248,2025050200793,1,6.940499038215734,3.0397279568095903,2215.3440505238304,2084.531009048351,False,False
K25F20L,254,2025050300758,183,9.13106938779234,2.381864143551192,2426.096650167121,452.85561812878416,False,False
K25F20L,256,2025050300761,165,9.132552684101398,2.255102544112851,1807.66044324513,3393.0751930014803,False,False
K25F20L,258,2025050300745,124,9.108617126188356,2.545846393890535,3804.428724847545,2718.532809824407,False,True
