src,ObjID,image_id,trail_length,snr,stack,nn,pmax,pmean,n_over50,crop_pmax
real,K25F28Z,96,9.612382115146588,3.4362678430678093,False,False,0.9876761436462402,0.7158660888671875,496.0,0.9986822605133057
real,K25F28Z,210,9.794496677203378,5.015826148016036,False,False,0.9948493838310242,0.6555799841880798,433.0,0.9994250535964966
real,K25F28Z,209,9.7874438484953,4.208756991136769,False,False,0.1127076968550682,0.005754418671131134,0.0,0.9991356730461121
real,K25F28Z,202,9.800335853384311,3.84935617669596,False,False,0.4745939373970032,0.04882976785302162,0.0,0.9980067610740662
real,K25F28Z,207,9.785608680332764,4.173204329591472,False,False,0.0019246049923822284,0.00021281633235048503,0.0,0.9964777231216431
real,K25F28Z,197,9.79387315805744,3.24777350378528,False,False,0.0011133443331345916,0.0002264941722387448,0.0,0.9834914803504944
real,K25F28Z,212,9.789099680889,2.674006429005928,False,False,0.0006161101046018302,0.00014278601156547666,0.0,0.9993531703948975
real,K25F28Z,206,9.79962230594629,3.3041924442817185,False,False,0.02597173862159252,0.0022273333743214607,0.0,0.9918291568756104
real,K21G12Z,248,6.940499038215734,3.0397279568095903,False,False,0.00031233459594659507,0.00010094854951603338,0.0,0.9994950890541077
real,K25F20L,254,9.13106938779234,2.381864143551192,False,False,0.011741246096789837,0.0014850765001028776,0.0,0.993619978427887
real,K25F20L,256,9.132552684101398,2.255102544112851,False,False,0.0021321717649698257,0.00017244662740267813,0.0,0.9983355402946472
real,K25F20L,252,9.161232708584228,2.8066451743003125,False,False,0.9969147443771362,0.7795255780220032,520.0,0.9986152052879333
real,K25F20L,277,7.292731852907838,4.2308861165651415,False,False,0.9951798915863037,0.5283793210983276,348.0,0.9996195435523987
real,K25F20L,311,6.582523264694413,7.62363304262598,False,False,0.993838906288147,0.6637322306632996,435.0,0.9987740516662598
real,K25F20L,305,6.583083281963455,9.832728524546615,False,False,0.9468896985054016,0.36927977204322815,249.0,0.998914361000061
real,K25F20L,291,6.592880201991045,4.113967194858302,False,False,0.9980875253677368,0.5807563662528992,372.0,0.9985396862030029
real,K25F20L,308,8.35086219058623,2.6664569252149395,False,False,0.9974390864372253,0.6691019535064697,428.0,0.998947262763977
real,K25F20L,289,8.359801875199393,2.574741616820809,False,False,0.0009777408558875322,0.00021937632118351758,0.0,0.9899348616600037
real,K25F20L,288,8.366290892602587,2.9946191725163214,False,False,0.9960964322090149,0.7888373732566833,525.0,0.9972643256187439
real,K20M02Y,354,10.18521172307774,2.6161800299351707,False,False,0.91350257396698,0.337764710187912,235.0,0.9893908500671387
real,K20M02Y,338,12.911876385326396,2.848353185850052,False,False,0.0001419320615241304,5.782175503554754e-05,0.0,0.9996845126152039
real,K20M02Y,369,10.218701482366166,2.0509151800046244,False,False,0.0010142311220988631,0.00016720582789275795,0.0,0.9958204627037048
real,K11UJ2Y,384,26.302002640555664,2.2371597746880907,False,False,0.00020234180556144565,7.744219328742474e-05,0.0,0.9790107607841492
real,K20M02Y,399,10.248966284706547,2.3900722396007485,False,False,0.3461555242538452,0.0591682493686676,0.0,0.9983261227607727
real,K20P02Y,425,8.542142173951127,3.5069127078952915,False,False,0.0001562542311148718,5.405305637395941e-05,0.0,0.9989244341850281
real,K20P02Y,428,8.542693771786576,2.7349870703664383,False,False,0.0002831095189321786,6.767347076674923e-05,0.0,0.9981551766395569
real,K20P02Y,466,8.546620537339368,3.5413317611316355,False,False,0.4130573868751526,0.02454625815153122,0.0,0.9839736819267273
real,K20P02Y,512,8.550105234581576,2.187737259619155,False,False,0.4761117398738861,0.18562795221805573,0.0,0.5155044198036194
real,K24W02L,533,11.016461003726429,2.11106470379373,False,False,0.2455630898475647,0.018459277227520943,0.0,0.9987143874168396
real,K24W02L,574,10.900463794913534,2.0035451930981387,False,False,0.006332601886242628,0.00021967322390992194,0.0,0.9282054901123047
real,K24W02L,572,10.891820052196524,2.2005407183442,False,False,0.0020330995321273804,0.000344852393027395,0.0,0.9781040549278259
real,K22M01M,603,10.43332048981149,2.1032650889842226,False,False,0.9728038311004639,0.7418197989463806,511.0,0.9975073933601379
real,K22M01M,604,10.422051987474523,5.142539950076793,False,False,0.0019141685916110873,0.00025172680034302175,0.0,0.9903126955032349
real,K22M01M,605,10.405104625863048,3.430633775134979,False,False,0.035429563373327255,0.001988874515518546,0.0,0.998166561126709
real,K22M01M,602,10.43576489682018,3.2981419176430973,False,False,0.9920637607574463,0.7030764222145081,470.0,0.9966127872467041
real,K13Y38E,608,11.27357998068063,3.359264118686092,False,False,0.8601982593536377,0.41962772607803345,282.0,0.9486247897148132
real,K08X02B,707,12.34881483661087,2.3562673099469973,False,False,0.00019962165970355272,8.610525401309133e-05,0.0,0.9972333312034607
real,K20X02O,735,10.220264466,2.433146394542598,False,False,0.008541745133697987,0.0013171873288229108,0.0,0.9996464252471924
real,K25N01T,749,6.560612812198926,6.560754022432057,False,False,0.8782302737236023,0.29506203532218933,187.0,0.9987944960594177
real,K21T13V,800,6.943627657191837,4.636554576463863,False,False,0.0018730516312643886,0.000159199204063043,0.0,0.9965714812278748
real,K18A04G,839,6.843264969259232,4.873219256988988,False,False,0.4786813259124756,0.23521345853805542,0.0,0.5156171917915344
real,K25N00K,888,8.656088864272773,2.292199484936755,False,True,0.9909565448760986,0.6427834033966064,426.0,0.9920980930328369
real,K25M89D,876,35.3198931500674,3.4221372827693304,False,False,0.9994473457336426,0.2637910842895508,168.0,0.9995107054710388
real,K25N00T,881,24.698979152344613,4.5240356996644,False,False,0.9988739490509033,0.5320392847061157,335.0,0.9991458058357239
real,K25N00T,887,24.67616442237012,2.494345098431553,False,False,0.9980352520942688,0.32219478487968445,207.0,0.999106764793396
real,K18B01J,917,15.589531098945258,4.856080642100495,False,False,0.00252980156801641,0.0004661552084144205,0.0,0.9988545775413513
real,K17O19M,914,6.905613952992862,2.152603302395514,False,False,0.011678784154355526,0.0007503503584302962,0.0,0.998479962348938
real,K25O02D,948,13.069964862250147,7.270977208840898,False,False,0.49031561613082886,0.014104912057518959,0.0,0.548728346824646
real,K25O04L,931,10.810647038875324,7.190622568313992,False,False,0.6855894327163696,0.0715860053896904,18.0,0.9987322688102722
real,K22Y06N,962,8.580182409053599,7.324656284557051,False,False,0.9497664570808411,0.10765612870454788,70.0,0.9963436126708984
real,K25N02Y,950,17.286733322727784,2.6202546540064944,False,False,0.4848516583442688,0.03453337773680687,0.0,0.9980254173278809
real,K25N02Y,976,17.199968693958564,2.3428312156138635,False,False,0.0072882394306361675,0.00036409482709132135,0.0,0.9537090063095093
real,K20B05A,982,6.351849908974587,2.3124740182957733,False,False,0.0012045629555359483,0.00023099209647625685,0.0,0.9949720501899719
real,K20M02P,1041,9.920353127782306,5.650611614656108,False,False,0.003322429256513715,0.0017461917595937848,0.0,0.9616599082946777
real,K17W13W,1036,6.459669883406432,3.861217590164511,False,False,0.0015152955893427134,0.00021150626707822084,0.0,0.9696986079216003
real,K18B06Y,1112,26.65957637350924,7.395745896043129,False,False,0.4761117398738861,0.18562795221805573,0.0,0.5155044198036194
real,K16X18H,1250,6.337895160204547,2.142851732476506,False,False,0.002413372276350856,0.000712932029273361,0.0,0.9784398674964905
real,K23Y01O,1249,6.728719471670107,4.197735428013516,False,True,0.9964687824249268,0.6852664351463318,450.0,0.9964687824249268
real,K25O09V,1283,12.481756843838784,2.2424481348269305,False,False,0.4761117398738861,0.18562795221805573,0.0,0.5155044198036194
real,K18P22D,1296,12.644488912115651,4.346497976385395,False,False,0.99835205078125,0.6059492826461792,388.0,0.9990041255950928
real,K18P22D,1281,12.613701351700726,6.201342199707135,False,False,0.9265375733375549,0.2545054256916046,153.0,0.9815482497215271
real,K23Y01O,1328,6.77129476263638,2.782883409334584,False,False,0.06215094029903412,0.003217200515791774,0.0,0.9966827034950256
real,K18B05J,1330,9.741146837407843,3.595238629192903,False,False,0.9775893688201904,0.6291242837905884,422.0,0.9973230361938477
real,K25F23V,1351,10.747085198459525,4.357474000046198,False,False,0.0005634197732433677,0.00016765411419328302,0.0,0.9956786036491394
real,K25O07Y,1361,15.7978872949736,3.0607953428809567,False,False,0.0003539225726854056,6.553337152581662e-05,0.0,0.9964370131492615
real,K22P20K,1379,6.443833508067038,8.186346831592328,False,False,0.1812560260295868,0.001997875515371561,0.0,0.9963545203208923
real,K22P20K,1436,8.851945337629989,5.309059481839164,False,False,0.07658688724040985,0.0076171658001840115,0.0,0.9985892176628113
real,K22P20K,1439,8.900502668251452,4.804982687566695,False,False,0.9984833598136902,0.733824610710144,484.0,0.9984833598136902
real,K22P20K,1449,8.882974185975678,3.220448874133534,False,False,0.011161846108734608,0.001882281736470759,0.0,0.9973598718643188
real,K22P20K,1455,8.895974413388972,4.031388382890127,False,False,0.9911892414093018,0.7062516808509827,474.0,0.9911892414093018
real,K25M00V,1522,9.46139095950886,2.487680204530744,False,False,0.997504472732544,0.596466600894928,380.0,0.9979655146598816
real,K25O02E,1530,8.800864085168763,3.5179884066429072,False,False,0.9777535796165466,0.43857139348983765,298.0,0.9777535796165466
real,K25N01U,1616,8.485565125166266,4.189973903754665,False,False,0.9411721229553223,0.3395763337612152,225.0,0.9911456108093262
real,K25O01D,1615,9.720905928356396,4.346343054793295,False,False,0.9977629780769348,0.681963324546814,442.0,0.9977937340736389
real,K25O11L,1614,21.54698420119857,2.119630217428474,False,False,0.995927631855011,0.36296525597572327,230.0,0.997446596622467
real,K25O09W,1704,9.586423887017162,3.405868513072758,False,False,0.9973635077476501,0.7119102478027344,467.0,0.9987308979034424
real,K25D49K,1716,8.516184232317078,2.7995317997911813,False,False,0.008674846030771732,0.0008376218611374497,0.0,0.9975191950798035
real,K25P00H,1726,9.724245421741967,6.097567054184505,False,False,0.05912578105926514,0.025452669709920883,0.0,0.9887636303901672
real,K17D15S,1739,6.578492383119003,3.5693279153940964,False,False,0.9413474798202515,0.15485358238220215,74.0,0.9658372402191162
real,K22P00J,1753,8.538049272798006,3.988115783964299,False,False,0.9980936646461487,0.6792967915534973,440.0,0.9985767006874084
real,K23B08P,1767,14.551230532398757,2.295130975765052,False,False,0.10688181966543198,0.002450187923386693,0.0,0.9997367262840271
real,K18B05E,1789,15.26292097340304,3.642974079493121,False,False,0.9912895560264587,0.6020671129226685,392.0,0.9912895560264587
real,K25O09W,1773,8.114379863760975,7.92568892784373,False,False,0.4761117398738861,0.1856326162815094,0.0,0.9974152445793152
real,K25O01U,1807,26.97886640193469,9.648053656396996,False,False,0.4761117398738861,0.18562795221805573,0.0,0.5155044198036194
real,K25O09W,1836,8.319296391189527,3.289881371062121,False,False,0.9885507822036743,0.4390510320663452,297.0,0.9885507822036743
real,K25O09V,1850,13.610059389767931,3.4524642309911107,False,False,0.04544217512011528,0.0022959469351917505,0.0,0.9986027479171753
real,K25P01B,1852,10.322902782946688,3.2883281920164102,False,False,0.9994013905525208,0.658433198928833,420.0,0.9994745850563049
real,K20B05A,1887,7.041348616390051,2.841889167693328,False,False,0.0011273883283138275,0.00020720653992611915,0.0,0.9978638291358948
real,K25P00K,1868,7.71853301716017,6.161790322481834,False,False,0.2925240397453308,0.019081121310591698,0.0,0.9912794828414917
real,K25N01J,1885,6.805312496726567,2.3944966838487947,False,False,0.0027197059243917465,0.0005212554824538529,0.0,0.9991524815559387
real,K25N01U,1900,8.943638596965693,3.5101669211960465,False,False,0.5214515924453735,0.024135734885931015,2.0,0.999171793460846
real,K25A02H,1889,6.591192616937514,2.890936017307594,False,False,0.9975970983505249,0.7118685841560364,455.0,0.9975970983505249
real,K25O17H,1934,9.823672426402355,2.028703858469261,False,False,0.0006982097984291613,8.748876280151308e-05,0.0,0.9991202354431152
real,K24O02N,1974,10.28070017097977,7.430076642495658,False,False,0.8716416954994202,0.04327080026268959,23.0,0.9936866760253906
real,K25O11L,2037,24.55668016827581,2.657889206551359,False,False,0.9632431864738464,0.27257996797561646,180.0,0.9988062381744385
real,K25N01U,2040,9.070787336483775,2.7790769534039703,False,False,0.008012421429157257,0.0009502163738943636,0.0,0.9992955327033997
real,K25O09V,2038,12.710608739222412,2.9778380069642494,False,False,0.3568209707736969,0.024650953710079193,0.0,0.9992018938064575
real,K25O09V,2036,12.702584905565118,2.124679159684644,False,False,0.40603792667388916,0.038572218269109726,0.0,0.9992234110832214
real,K13T04M,2067,15.89490258200262,3.3761764477027745,False,False,0.4761117398738861,0.1856110543012619,0.0,0.9911072254180908
real,K14A16B,2084,6.64541364804091,3.2792990444986345,False,False,0.04892820492386818,0.0007137290667742491,0.0,0.476222962141037
real,K25O10K,2086,20.01449578047329,4.370185248353274,False,False,0.015847954899072647,0.0001877297181636095,0.0,0.9974033832550049
real,K19J00M,2144,18.7019319610374,2.1651515700025743,False,False,0.059540241956710815,0.0012249519350007176,0.0,0.9988723993301392
real,K22P00J,2186,9.728543009068956,8.22074368615693,False,False,0.4761117398738861,0.18562795221805573,0.0,0.5155044198036194
real,K19J00M,2223,13.669169173994968,4.641798130587502,False,False,0.00016361438611056656,9.172093268716708e-05,0.0,0.9993529319763184
real,K19J00M,2242,13.660041664308014,7.205611099266827,False,False,8.214920671889558e-05,4.145181810599752e-05,0.0,0.9996473789215088
real,K19J00M,2252,13.664087966040752,8.134321122684602,False,False,0.0002529349294491112,8.585395698901266e-05,0.0,0.9645609855651855
real,K19J00M,2226,13.64714255776331,3.342207845398934,False,False,0.000426058832090348,7.69882753957063e-05,0.0,0.9996294975280762
real,K19J00M,2228,13.676664182947572,2.3862322861028185,False,False,0.952038049697876,0.3865565061569214,263.0,0.9986208081245422
real,K19J00M,2240,13.665515457147343,5.735061149590863,False,False,0.001939601730555296,0.00025751019711606205,0.0,0.988388180732727
real,K19J00M,2255,13.681530066948886,2.6013492044899205,False,False,0.000640835496596992,0.0001468198315706104,0.0,0.9822934865951538
real,K19J00M,2241,13.687341324276222,5.704033521771724,False,False,0.000642061117105186,0.00014448360889218748,0.0,0.9976511597633362
real,K19J00M,2234,13.661169881982213,2.1403204265863205,False,False,0.00011520479893079028,5.0525057304184884e-05,0.0,0.9998791217803955
real,K19J00M,2243,13.675747186324902,4.225057178827845,False,False,0.5573784112930298,0.07848720252513885,5.0,0.9951608777046204
real,K19J00M,2225,13.642408706468183,3.2961302227891665,False,False,0.0002502460847608745,8.472700574202463e-05,0.0,0.9995065331459045
real,K19J00M,2229,13.685039613150808,2.960065603398997,False,False,0.998938798904419,0.5656870007514954,361.0,0.9994673132896423
real,K25O11L,2320,9.20008957481882,3.1030319000581805,False,False,0.997590959072113,0.27783817052841187,177.0,0.997590959072113
real,K25O09P,2382,13.414462934147735,2.088824731633028,False,False,0.01128158625215292,0.003672113409265876,0.0,0.9995276927947998
real,K21J01U,2473,6.391386784893463,8.34618289371269,False,False,0.01636827364563942,0.0011874140473082662,0.0,0.9971921443939209
real,K17Q02F,2499,9.034914441479604,4.771807532160124,False,False,0.9877598285675049,0.7514159679412842,507.0,0.9915623068809509
real,K25O01N,1308,9.222399885016126,8.447454576316376,True,False,0.9976980090141296,0.41025567054748535,260.0,0.9976980090141296
real,K25H12F,459,11.585925048280757,6.852402459528737,True,True,0.9991843104362488,0.7524662017822266,479.0,0.9991843104362488
real,K25O07W,2017,7.526050932078323,7.279065511385784,True,False,0.9448913335800171,0.3265916407108307,221.0,0.9797359704971313
real,K18P22D,663,7.771724271384367,6.514235840470295,True,True,0.9973816275596619,0.5803337693214417,372.0,0.9993076324462891
real,K22P20K,1448,8.889550762753602,6.317902442511052,True,True,0.9989709854125977,0.7727815508842468,499.0,0.9989948272705078
real,K18B05J,1025,9.286504828842771,7.111688370314803,True,False,0.9949495792388916,0.596428632736206,393.0,0.9978049993515015
real,K25F20L,281,7.342413305708025,4.8987128414632775,True,False,0.9900557994842529,0.6017443537712097,395.0,0.9970698952674866
real,K25O09V,1338,12.863465194798628,2.262426906410464,True,False,0.9912229776382446,0.2316165268421173,152.0,0.9942945241928101
real,K25P00K,1949,8.283742918339481,8.1020510309759,True,False,0.9930837750434875,0.4310915470123291,287.0,0.9957199096679688
real,K25F28Z,213,9.788925726317297,4.642311483590438,True,False,0.9358078837394714,0.2894519865512848,175.0,0.9997195601463318
real,K25F28Z,199,9.79177055728364,7.894756505080134,True,False,0.9308390021324158,0.3204118311405182,212.0,0.9977930784225464
real,K22P20K,1438,8.895640252447789,9.503785976538026,True,False,0.9982171654701233,0.7439607381820679,482.0,0.9982171654701233
real,K15N13Y,1923,10.527163877088134,9.717176206108434,True,False,0.9970617294311523,0.5633072257041931,366.0,0.9987137317657471
real,K25N00T,886,24.73797145658798,2.461037955480861,True,True,0.9993838667869568,0.1504126638174057,94.0,0.9996882081031799
real,K25O09V,1335,12.769386174574167,2.5392602100466983,True,False,0.9711962342262268,0.1700623780488968,112.0,0.9981375932693481
real,K25O01N,1190,8.20035160565903,3.894854856172735,True,False,0.9866223931312561,0.31420236825942993,210.0,0.9998314380645752
real,K25H12F,449,11.591953085185995,7.497941191412093,True,True,0.9970120787620544,0.6609343886375427,427.0,0.9975465536117554
real,K25M92E,1116,18.292468137843933,9.826318572728884,True,False,0.8821313381195068,0.11839212477207184,55.0,0.9989664554595947
real,K25O17H,1628,7.132659350326499,5.810079939703734,True,False,0.9677004814147949,0.4160490334033966,286.0,0.9970535635948181
real,K25M00V,894,14.707796179764062,4.033932320348445,True,True,0.9967755675315857,0.48644623160362244,312.0,0.9991310238838196
real,K25H12F,482,11.568934221301276,9.07493890058228,True,True,0.9978072047233582,0.7484596371650696,480.0,0.9978072047233582
real,K25O03Z,1579,8.067463250590178,9.429363480034828,True,False,0.10787554085254669,0.007662066724151373,0.0,0.9992985129356384
real,K25H12F,486,11.568817329600767,8.093931647748619,True,True,0.9998154044151306,0.7715469002723694,485.0,0.9998154044151306
real,K25D49K,1106,9.379259843479211,7.693579174396239,True,True,0.9965351819992065,0.6185736656188965,400.0,0.9979648590087891
