ObjID,image_id,trail_length,snr,pmax_pt,line_thr0.5,pt_thr0.5,line_thr0.3,pt_thr0.3,line_thr0.1,pt_thr0.1
K25F28Z,96,9.612382115146588,3.4362678430678093,0.9876761436462402,True,True,True,True,True,True
K25F28Z,210,9.794496677203378,5.015826148016036,0.9948493838310242,True,True,True,True,True,True
K25F28Z,209,9.7874438484953,4.208756991136769,0.34130921959877014,False,False,True,True,True,True
K25F28Z,202,9.800335853384311,3.84935617669596,0.4745939373970032,False,False,True,True,True,True
K25F28Z,207,9.785608680332764,4.173204329591472,0.0019246049923822284,False,False,False,False,False,False
K25F28Z,197,9.79387315805744,3.24777350378528,0.0011133443331345916,False,False,False,False,False,False
K25F28Z,212,9.789099680889,2.674006429005928,0.0006161101046018302,False,False,False,False,False,False
K25F28Z,206,9.79962230594629,3.3041924442817185,0.02597173862159252,False,False,False,False,False,False
K21G12Z,248,6.940499038215734,3.0397279568095903,0.00031233459594659507,False,False,False,False,False,False
K25F20L,254,9.13106938779234,2.381864143551192,0.011741246096789837,False,False,False,False,False,False
K25F20L,256,9.132552684101398,2.255102544112851,0.0007402070914395154,False,False,False,False,False,False
K25F20L,252,9.161232708584228,2.8066451743003125,0.9969147443771362,True,True,True,True,True,True
K25F20L,277,7.292731852907838,4.2308861165651415,0.9951798915863037,True,True,True,True,True,True
K25F20L,311,6.582523264694413,7.62363304262598,0.993838906288147,True,True,True,True,True,True
K25F20L,305,6.583083281963455,9.832728524546615,0.9468896985054016,True,True,True,True,True,True
K25F20L,291,6.592880201991045,4.113967194858302,0.9980875253677368,True,True,True,True,True,True
K25F20L,308,8.35086219058623,2.6664569252149395,0.9980456233024597,True,True,True,True,True,True
K25F20L,289,8.359801875199393,2.574741616820809,0.0009777408558875322,False,False,False,False,False,False
K25F20L,288,8.366290892602587,2.9946191725163214,0.9960964322090149,True,True,True,True,True,True
K20M02Y,354,10.18521172307774,2.6161800299351707,0.91350257396698,True,True,True,True,True,True
K20M02Y,338,12.911876385326396,2.848353185850052,0.00013726593169849366,False,False,False,False,False,False
K20M02Y,369,10.218701482366166,2.0509151800046244,0.0010142311220988631,False,False,False,False,False,False
K11UJ2Y,384,26.302002640555664,2.2371597746880907,0.0001800907775759697,False,False,False,False,False,False
K20M02Y,399,10.248966284706547,2.3900722396007485,0.3461555242538452,False,False,True,True,True,True
K20P02Y,425,8.542142173951127,3.5069127078952915,0.0001562542311148718,False,False,False,False,False,False
K20P02Y,428,8.542693771786576,2.7349870703664383,0.0002831095189321786,False,False,False,False,False,False
K20P02Y,466,8.546620537339368,3.5413317611316355,0.4130573868751526,False,False,True,True,True,True
K20P02Y,512,8.550105234581576,2.187737259619155,0.4761117398738861,False,False,True,True,True,True
K24W02L,533,11.016461003726429,2.11106470379373,0.2455630898475647,False,False,False,False,True,True
K24W02L,574,10.900463794913534,2.0035451930981387,0.006332601886242628,False,False,False,False,False,False
K24W02L,572,10.891820052196524,2.2005407183442,0.0020330995321273804,False,False,False,False,False,False
K22M01M,603,10.43332048981149,2.1032650889842226,0.9728038311004639,True,True,True,True,True,True
K22M01M,604,10.422051987474523,5.142539950076793,0.006475869566202164,False,False,False,False,False,False
K22M01M,605,10.405104625863048,3.430633775134979,0.035429563373327255,False,False,False,False,False,False
K22M01M,602,10.43576489682018,3.2981419176430973,0.9920637607574463,True,True,True,True,True,True
K13Y38E,608,11.27357998068063,3.359264118686092,0.8601982593536377,True,True,True,True,True,True
K08X02B,707,12.34881483661087,2.3562673099469973,0.00019962165970355272,False,False,False,False,False,False
K20X02O,735,10.220264466,2.433146394542598,0.008541745133697987,False,False,False,False,False,False
K25N01T,749,6.560612812198926,6.560754022432057,0.8782302737236023,True,True,True,True,True,True
K21T13V,800,6.943627657191837,4.636554576463863,0.0018730516312643886,False,False,False,False,False,False
K18A04G,839,6.843264969259232,4.873219256988988,0.4786813259124756,False,False,True,True,True,True
K25N00K,888,8.656088864272773,2.292199484936755,0.9909565448760986,True,True,True,True,True,True
K25M89D,876,35.3198931500674,3.4221372827693304,0.9994473457336426,True,True,True,True,True,True
K25N00T,881,24.698979152344613,4.5240356996644,0.9988739490509033,True,True,True,True,True,True
K25N00T,887,24.67616442237012,2.494345098431553,0.9980352520942688,True,True,True,True,True,True
K18B01J,917,15.589531098945258,4.856080642100495,0.0027958389837294817,False,False,False,False,False,False
K17O19M,914,6.905613952992862,2.152603302395514,0.011678784154355526,False,False,False,False,False,False
K25O02D,948,13.069964862250147,7.270977208840898,0.49031561613082886,True,False,True,True,True,True
K25O04L,931,10.810647038875324,7.190622568313992,0.6855894327163696,True,True,True,True,True,True
