image_id,visit,detector,band
1591,2025071700709,92,r_57
1584,2025071700674,25,r_57
1590,2025071700694,43,r_57
1595,2025071800031,26,g_6
1598,2025071800134,169,u_24
1611,2025071800208,10,u_24
1601,2025071800206,135,u_24
1605,2025071800117,17,u_24
1603,2025071800210,166,u_24
1613,2025071800259,80,u_24
1604,2025071800167,49,u_24
1600,2025071800169,86,u_24
1618,2025071800266,175,u_24
1606,2025071800138,79,u_24
1616,2025071800215,26,u_24
1608,2025071800233,117,u_24
1597,2025071800131,116,u_24
1621,2025071800271,29,u_24
1610,2025071800205,59,u_24
1615,2025071800265,130,u_24
1602,2025071800234,120,u_24
1612,2025071800236,108,u_24
1620,2025071800267,47,u_24
1619,2025071800300,1,r_57
1607,2025071800189,115,g_6
1627,2025071800272,178,u_24
1614,2025071800236,101,u_24
1593,2025071800129,87,u_24
1630,2025071800370,14,r_57
1623,2025071800273,104,u_24
1624,2025071800314,143,g_6
1609,2025071800147,149,u_24
1626,2025071800302,150,r_57
1617,2025071800239,43,u_24
1625,2025071800305,132,r_57
1631,2025071800338,63,g_6
1633,2025071800375,48,r_57
1635,2025071800398,48,r_57
1632,2025071800299,14,r_57
1592,2025071800049,53,g_6
1622,2025071800304,54,r_57
1639,2025071800400,41,r_57
1628,2025071800341,57,g_6
1638,2025071800378,80,r_57
1643,2025071800386,29,r_57
1629,2025071800279,39,u_24
1634,2025071800412,61,r_57
1640,2025071800443,100,i_39
1642,2025071800407,128,r_57
1636,2025071800353,43,r_57
1637,2025071800370,182,r_57
1646,2025071800368,41,r_57
1645,2025071800399,18,r_57
1641,2025071800445,61,i_39
1644,2025071800402,43,r_57
1649,2025071800451,44,i_39
1648,2025071800421,84,r_57
1663,2025071800501,6,i_39
1650,2025071800456,147,i_39
1647,2025071800446,60,i_39
1656,2025071800496,48,i_39
1659,2025071800468,58,r_57
1660,2025071800511,6,i_39
1654,2025071800469,58,r_57
1668,2025071800465,81,i_39
1661,2025071800503,152,i_39
1658,2025071800517,152,i_39
1655,2025071800483,48,r_57
1651,2025071900067,148,i_39
1657,2025071800518,38,i_39
1662,2025071800478,150,r_57
1672,2025071900109,135,u_24
1665,2025071800502,38,i_39
1652,2025071900046,150,r_57
1666,2025071900078,99,g_6
1671,2025071900110,34,u_24
1673,2025071900079,186,g_6
1669,2025071800513,38,i_39
1674,2025071900111,156,u_24
1653,2025071900046,103,r_57
1675,2025071800470,58,r_57
1664,2025071900067,103,i_39
1678,2025071900137,155,g_6
1687,2025071900261,25,g_6
1691,2025071900252,33,u_24
1689,2025071900261,184,g_6
1690,2025071900231,129,u_24
1698,2025071900277,178,u_24
1677,2025071900145,82,g_6
1692,2025071900229,83,u_24
1676,2025071900124,37,g_6
1693,2025071900289,101,g_6
1699,2025071900276,28,u_24
1701,2025071900247,103,u_24
1702,2025071900280,114,u_24
1706,2025071900293,72,g_6
1697,2025071900256,177,u_24
1694,2025071900235,55,u_24
1704,2025071900282,57,u_24
1679,2025071900119,135,g_6
1703,2025071900296,113,g_6
1696,2025071900234,63,u_24
1708,2025071900304,183,g_6
1716,2025071900380,167,u_24
1695,2025071900249,64,u_24
1685,2025071900212,83,r_57
1714,2025071900347,136,u_24
1705,2025071900277,43,u_24
1723,2025071900463,78,u_24
1682,2025071900160,34,g_6
1680,2025071900150,142,g_6
1728,2025071900432,25,g_6
1719,2025071900352,183,u_24
1713,2025071900332,167,g_6
1707,2025071900299,136,g_6
1709,2025071900304,55,g_6
1721,2025071900380,41,u_24
1726,2025071900410,84,g_6
1715,2025071900381,133,u_24
1681,2025071900217,142,r_57
1725,2025071900439,126,g_6
1718,2025071900332,38,g_6
1683,2025071900113,156,g_6
1724,2025071900436,52,g_6
1717,2025071900352,55,u_24
1722,2025071900400,117,g_6
1727,2025071900403,38,g_6
1667,2025071900059,137,i_39
1732,2025071900463,156,u_24
1729,2025071900462,154,u_24
1730,2025071900401,115,g_6
1735,2025071900459,81,u_24
1684,2025071900172,37,r_57
1733,2025071900470,171,u_24
1740,2025071900479,186,u_24
1711,2025071900331,158,g_6
1686,2025071900227,21,r_57
1742,2025071900477,179,u_24
1744,2025071900524,32,u_24
1731,2025071900400,125,g_6
1720,2025071900379,45,u_24
1736,2025071900445,127,g_6
1734,2025071900476,46,u_24
1747,2025071900480,15,u_24
1739,2025071900498,117,g_6
1738,2025071900442,62,g_6
1710,2025071900333,133,g_6
1743,2025071900517,81,u_24
1750,2025071900534,9,r_57
1751,2025071900525,110,u_24
1748,2025071900517,60,u_24
1741,2025071900504,155,g_6
1745,2025071900471,54,u_24
1749,2025071900537,77,r_57
1712,2025071900331,48,g_6
1737,2025071900464,52,u_24
1753,2025071900535,59,r_57
1755,2025071900556,162,g_6
1761,2025071900557,22,g_6
1759,2025071900555,72,g_6
1760,2025071900537,165,r_57
1752,2025071900536,83,r_57
1771,2025071900628,162,g_6
1770,2025071900619,33,g_6
1758,2025071900547,48,r_57
1766,2025071900557,109,g_6
1757,2025071900556,57,g_6
1767,2025071900572,135,i_39
1764,2025071900571,43,i_39
1756,2025071900565,43,g_6
1765,2025071900566,135,g_6
1774,2025071900571,135,i_39
1768,2025071900618,111,g_6
1763,2025071900565,135,g_6
1782,2025071900656,166,g_6
1780,2025071900643,177,g_6
1754,2025071900536,160,r_57
1762,2025071900566,43,g_6
1775,2025071900573,135,i_39
1772,2025071900573,43,i_39
1777,2025071900634,166,g_6
1776,2025071900628,60,g_6
1781,2025071900657,63,g_6
1790,2025071900657,72,g_6
1787,2025071900666,26,r_57
1792,2025071900705,72,r_57
1769,2025071900572,43,i_39
1788,2025071900667,33,r_57
1785,2025071900666,111,r_57
1786,2025071900684,1,r_57
1789,2025071900661,46,r_57
1779,2025071900676,60,r_57
1791,2025071900691,178,r_57
1795,2025071900676,162,r_57
1773,2025071900636,1,g_6
1798,2025071900708,2,r_57
1794,2025071900704,166,r_57
1793,2025071900710,144,r_57
1801,2025071900716,182,r_57
1803,2025071900717,14,r_57
1796,2025071900694,133,r_57
1783,2025071900646,133,g_6
1700,2025071900161,156,r_57
1797,2025071900713,134,r_57
1799,2025071900705,63,r_57
1784,2025071900682,167,r_57
1804,2025071900717,16,r_57
1807,2025072000128,73,u_24
1802,2025071900714,47,r_57
1810,2025072000094,19,u_24
1814,2025072000075,170,u_24
1820,2025072000132,175,u_24
1817,2025072000074,166,u_24
1823,2025072000174,11,r_57
1806,2025072000115,159,u_24
1816,2025072000149,89,u_24
1821,2025072000160,172,u_24
1826,2025072000218,11,i_39
1800,2025072000027,170,g_6
1818,2025072000142,97,u_24
1813,2025072000097,19,u_24
1825,2025072000177,128,r_57
1832,2025072000182,167,r_57
1819,2025072000152,67,u_24
1822,2025072000150,70,u_24
1828,2025072000170,150,r_57
1815,2025072000114,117,u_24
1824,2025072000221,128,i_39
1838,2025072000297,12,r_57
1808,2025072000046,19,g_6
1829,2025072000181,63,r_57
1827,2025072000142,164,u_24
1837,2025072000226,167,i_39
1835,2025072000214,150,i_39
1836,2025072000253,129,g_6
1809,2025072000081,105,u_24
1830,2025072000182,39,r_57
1831,2025072000204,120,r_57
1833,2025072000199,82,r_57
1843,2025072000282,145,u_24
1834,2025072000226,36,i_39
1845,2025072000333,107,r_57
1847,2025072000272,26,u_24
1844,2025072000225,63,i_39
1811,2025072000049,19,g_6
1841,2025072000302,141,r_57
1839,2025072000252,120,i_39
1850,2025072000274,30,u_24
1849,2025072000228,121,i_39
1846,2025072000311,56,r_57
1842,2025072000223,85,i_39
1854,2025072000357,125,i_39
1855,2025072000314,39,r_57
1840,2025072000247,86,i_39
1859,2025072000345,12,i_39
1853,2025072000325,186,r_57
1851,2025072000354,187,i_39
1857,2025072000322,16,r_57
1860,2025072000369,16,i_39
1858,2025072000323,89,r_57
1862,2025072000361,36,i_39
1861,2025072000358,56,i_39
1863,2025072000370,89,i_39
1864,2025072000372,186,i_39
1870,2025072000409,177,r_57
1865,2025072000380,107,i_39
1866,2025072000446,158,r_57
1848,2025072000257,63,g_6
1867,2025072000443,38,r_57
1877,2025072000444,73,r_57
1869,2025072000383,15,g_6
1852,2025072000312,102,r_57
1856,2025072000359,102,i_39
1872,2025072000408,116,r_57
1873,2025072000440,43,r_57
1880,2025072000492,73,i_39
1874,2025072000456,116,i_39
1878,2025072000447,121,r_57
1883,2025072000470,32,i_39
1876,2025072000484,105,i_39
1881,2025072000488,43,i_39
1868,2025072000390,148,g_6
1879,2025072000494,158,i_39
1885,2025072000504,77,r_57
1882,2025072000491,38,i_39
1888,2025072000505,110,r_57
1887,2025072000446,89,r_57
1875,2025072000449,70,r_57
1890,2025072000494,89,i_39
1898,2025072100225,15,z_20
1889,2025072100048,107,r_57
1884,2025072000497,70,i_39
1895,2025072100199,76,i_39
1897,2025072100210,175,z_20
1900,2025072100246,150,u_24
1893,2025072100198,113,i_39
1903,2025072100292,66,u_24
1892,2025072100078,60,r_57
1896,2025072100238,61,z_20
1899,2025072100203,53,i_39
1886,2025072100075,170,r_57
1901,2025072100244,53,z_20
1907,2025072100250,83,u_24
1894,2025072100197,61,i_39
1904,2025072100240,76,z_20
1905,2025072100274,91,u_24
1911,2025072100219,185,z_20
1902,2025072100259,58,u_24
1891,2025072100076,56,r_57
1913,2025072100323,56,u_24
1914,2025072100321,56,u_24
1912,2025072100290,22,u_24
1909,2025072100292,6,u_24
1908,2025072100217,37,z_20
1906,2025072100239,113,z_20
1916,2025072100320,56,i_39
1920,2025072100319,56,i_39
1922,2025072100322,56,u_24
1917,2025072100317,56,i_39
1933,2025072100343,185,u_24
1918,2025072100318,56,i_39
1910,2025072100293,153,u_24
1926,2025072100353,113,g_6
1927,2025072100350,149,u_24
1925,2025072100349,129,u_24
1921,2025072100333,17,u_24
1930,2025072100355,118,g_6
1936,2025072100367,31,g_6
1931,2025072100353,97,g_6
1924,2025072100324,56,u_24
1919,2025072100316,56,g_6
1928,2025072100339,86,u_24
1932,2025072100358,66,g_6
1812,2025072000066,117,g_6
1937,2025072100394,28,r_57
1935,2025072100359,40,g_6
1934,2025072100332,104,u_24
1923,2025072100325,85,u_24
1929,2025072100365,110,g_6
1940,2025072100393,34,r_57
1939,2025072100367,18,g_6
1942,2025072100355,97,g_6
1938,2025072100373,138,g_6
1943,2025072100396,110,r_57
1941,2025072100366,71,g_6
1945,2025072100391,71,g_6
1948,2025072100393,71,r_57
1953,2025072100436,19,i_39
1946,2025072100391,33,g_6
1947,2025072100397,138,r_57
1956,2025072100436,28,i_39
1944,2025072100389,121,g_6
1952,2025072100399,107,r_57
1957,2025072100435,34,i_39
1955,2025072100418,41,r_57
1949,2025072100403,54,r_57
1950,2025072100408,83,r_57
1951,2025072100430,127,r_57
1965,2025072100501,38,g_6
1959,2025072100439,138,i_39
1962,2025072100493,49,g_6
1964,2025072100438,113,i_39
1963,2025072100450,86,i_39
1966,2025072100499,61,g_6
1954,2025072100415,82,r_57
1961,2025072100441,107,i_39
1958,2025072100445,54,i_39
1969,2025072100460,41,i_39
1972,2025072100498,2,g_6
1975,2025072100486,75,g_6
1977,2025072100501,178,g_6
1960,2025072100435,71,i_39
1971,2025072100510,177,g_6
1973,2025072100496,73,g_6
1974,2025072100498,142,g_6
1968,2025072100472,127,i_39
1979,2025072100485,154,g_6
1985,2025072100567,167,r_57
1984,2025072100559,147,r_57
1967,2025072100495,157,g_6
1970,2025072100494,53,g_6
1991,2025072100564,2,r_57
1990,2025072100567,173,r_57
1978,2025072100457,82,i_39
1980,2025072100503,94,g_6
1982,2025072100540,114,i_39
1981,2025072100542,114,g_6
1993,2025072100565,105,r_57
1983,2025072100539,114,i_39
1987,2025072100559,128,r_57
1999,2025072100581,180,r_57
1989,2025072100543,114,g_6
1995,2025072100574,3,r_57
1997,2025072100599,108,r_57
1994,2025072100559,103,r_57
1988,2025072100541,114,g_6
1986,2025072100552,114,i_39
1976,2025072100505,50,g_6
1915,2025072100261,87,r_57
1992,2025072100568,110,r_57
2002,2025072100631,35,r_57
2001,2025072100628,140,r_57
2000,2025072100630,33,r_57
1996,2025072100569,153,r_57
2008,2025072100682,163,g_6
2007,2025072100629,6,r_57
2003,2025072100611,128,r_57
2011,2025072100671,147,g_6
2004,2025072100630,183,r_57
2006,2025072100609,55,r_57
2005,2025072100639,163,r_57
2018,2025072100649,46,r_57
2019,2025072100685,111,g_6
2010,2025072100640,67,r_57
1998,2025072100600,107,r_57
2009,2025072100653,107,g_6
2016,2025072200025,36,u_24
2028,2025072200162,175,g_6
2015,2025072100683,67,g_6
2023,2025072100642,111,r_57
2027,2025072200166,164,g_6
2026,2025072200164,17,g_6
2012,2025072100668,139,g_6
2013,2025072100664,128,g_6
2022,2025072200236,117,r_57
2017,2025072200128,45,i_39
2024,2025072200191,155,g_6
2025,2025072200191,108,g_6
2030,2025072200234,57,r_57
2014,2025072200122,33,i_39
2037,2025072200247,147,u_24
2032,2025072200190,117,g_6
2036,2025072200261,67,u_24
2038,2025072200259,78,u_24
2031,2025072200191,52,g_6
2035,2025072200246,48,u_24
2034,2025072200237,155,r_57
2048,2025072200271,130,r_57
2046,2025072200270,130,r_57
2044,2025072200267,130,u_24
2033,2025072200237,52,r_57
2040,2025072200242,42,u_24
2043,2025072200265,130,u_24
2050,2025072200273,130,r_57
2020,2025072200120,107,i_39
2042,2025072200266,130,u_24
2045,2025072200268,152,u_24
2051,2025072200269,130,r_57
2039,2025072200265,152,u_24
2041,2025072200266,152,u_24
2060,2025072200268,130,u_24
2063,2025072200285,114,u_24
2067,2025072200281,124,u_24
2068,2025072200296,64,u_24
2047,2025072200270,152,r_57
2065,2025072200278,130,z_20
2053,2025072200273,152,r_57
2066,2025072200279,130,z_20
2075,2025072200399,5,u_24
2052,2025072200267,152,u_24
2077,2025072200296,150,u_24
2054,2025072200269,152,r_57
2076,2025072200397,159,u_24
2049,2025072200272,152,r_57
2083,2025072200454,28,i_39
2057,2025072200278,152,z_20
2078,2025072200401,109,u_24
2062,2025072200274,152,u_24
2085,2025072200462,33,i_39
2081,2025072200459,3,i_39
2079,2025072200400,98,u_24
2056,2025072200271,152,r_57
2059,2025072200277,152,z_20
2080,2025072200451,158,i_39
2064,2025072200279,152,z_20
2082,2025072200442,166,u_24
2086,2025072200442,72,u_24
2089,2025072200452,107,i_39
2095,2025072200497,181,z_20
2061,2025072200272,130,r_57
2093,2025072200459,183,i_39
2055,2025072200275,152,z_20
2098,2025072200514,1,z_20
2088,2025072200457,88,i_39
2074,2025072200358,48,r_57
2094,2025072200503,106,z_20
2090,2025072200463,89,i_39
2084,2025072200449,35,i_39
2058,2025072200276,152,z_20
2104,2025072200520,176,r_57
2105,2025072200516,185,z_20
2099,2025072200519,49,z_20
2100,2025072200511,98,z_20
2073,2025072200310,48,g_6
2087,2025072200457,52,i_39
2107,2025072200535,9,r_57
2103,2025072200516,155,z_20
2102,2025072200519,93,z_20
2069,2025072200313,50,g_6
2091,2025072200460,152,i_39
2096,2025072200499,109,z_20
2101,2025072200502,49,z_20
2097,2025072200514,184,z_20
2108,2025072200537,144,r_57
2109,2025072200523,145,r_57
2106,2025072200522,42,r_57
2110,2025072200540,9,r_57
2113,2025072200545,46,r_57
2111,2025072200547,35,i_39
2112,2025072200539,137,r_57
2117,2025072200554,75,i_39
2115,2025072200556,103,i_39
2122,2025072200569,144,g_6
2114,2025072200556,181,i_39
2119,2025072200567,56,g_6
2123,2025072200569,56,g_6
2116,2025072200551,101,i_39
2125,2025072200570,144,u_24
2120,2025072200566,144,g_6
2126,2025072200556,157,i_39
2124,2025072200568,144,g_6
2130,2025072200571,144,u_24
2127,2025072200568,56,g_6
2129,2025072200567,144,g_6
2118,2025072200555,10,i_39
2132,2025072200571,56,u_24
2134,2025072200576,25,u_24
2128,2025072200570,56,u_24
2121,2025072200566,56,g_6
2136,2025072200576,144,u_24
2138,2025072200577,25,u_24
2135,2025072200572,144,i_39
2133,2025072200574,144,i_39
2144,2025072200577,144,u_24
2137,2025072200574,56,i_39
2156,2025072300344,4,g_6
2145,2025072200578,144,u_24
2143,2025072200578,25,u_24
2131,2025072200572,56,i_39
2148,2025072200579,144,u_24
2147,2025072200579,25,u_24
2153,2025072300342,177,g_6
2149,2025072300342,80,g_6
2158,2025072300350,6,g_6
2159,2025072300359,73,g_6
2139,2025072200573,56,i_39
2140,2025072200575,144,i_39
2142,2025072200573,144,i_39
2141,2025072200575,56,i_39
2167,2025072300362,186,g_6
2163,2025072300354,151,g_6
2162,2025072300363,53,g_6
2160,2025072300349,62,g_6
2161,2025072300360,62,g_6
2166,2025072300377,30,g_6
2170,2025072300360,106,g_6
2175,2025072300376,29,g_6
2150,2025072300308,127,z_20
2172,2025072300389,160,g_6
2173,2025072300370,151,g_6
2168,2025072300370,61,g_6
2183,2025072300420,181,g_6
2177,2025072300378,36,g_6
2165,2025072300331,110,g_6
2185,2025072300430,77,r_57
