L_fit,th_fit,flux_fit,rChiSq,ok,image_id,x,y,adcnn_len,adcnn_beta,adcnn_flux,score_rf,tp,truth_len,dlen,dang,flux_ratio,flux_snr
2.3778072332812096e-06,28.48922377312353,5409.10471180821,1.1287661698565583,True,0,239.2735368956743,56.54198473282443,36.05911,24.502989,2681.1245,0.5164372060743803,False,,36.05910762219276,3.986234773123531,2.0174761417488107,5409.10471180821
14.667852153567534,43.70346536779328,6665.765538033089,1.1129145466745611,True,0,812.9297071129707,159.7213389121339,56.182693,24.416876,3456.9807,0.5819189915608389,False,,41.51484084643246,19.28658936779328,1.9282044409542376,1740.4709214784175
68.22534674288134,23.988081866696586,11167.36595554702,1.139101415543953,True,0,3099.453479280688,282.0656763096169,61.323658,24.43746,3512.103,0.6100855061594358,False,,6.9016887428813405,0.44937813330341214,3.1796806516058953,1352.0036760980688
16.965017470932032,75.8770034193538,9040.215498825697,1.1079444395101448,True,0,1490.5437636761487,296.1105032822757,46.345463,24.517687,2652.919,0.6537458394126472,False,,29.38044552906797,51.3593164193538,3.4076485180383185,2194.8337392825397
334.17520605260484,26.219789095785874,37712.009942392746,0.8913064791601665,True,0,1854.003721196508,328.082438814942,320.00085,23.090036,43468.85,0.5402115390527499,False,,14.174356052604821,3.1297530957858726,0.8675640129056266,2062.9683610751586
43.3622125759163,28.001962608687492,12408.485268612847,1.2432737026831513,True,0,2941.865157480315,371.8553149606299,50.05467,24.415394,4108.8145,0.5130224562691647,False,,6.692457424083699,3.586568608687493,3.019967260291952,1884.3564231198327
35.4420006960829,22.282515506401197,10350.158612493433,1.1247492890172026,True,0,2998.8719367588933,483.1106719367589,60.927692,24.8726,1996.9551,0.5124906351804223,False,,25.4856913039171,2.590084493598795,5.182970119104548,1738.552822361024
32.323556199324905,31.5005312594836,8727.0565696949,1.1114747499898894,True,0,463.1748633879781,555.0874316939891,51.201225,24.602493,2132.3386,0.5947228702320397,False,,18.877668800675096,6.898038259483602,4.092716123834601,1534.9994474123143
60.812814187887945,30.586261334763506,13797.53628071246,1.1308093143772728,True,0,1398.595223880597,623.3325373134328,76.3914,25.61393,8164.9814,0.8063368485806806,True,58.33176832853101,15.57858581211206,4.972331334763506,1.6898429530669183,1769.3102522162987
-1.543638908478798e-05,48.937626497059505,20009.633756611373,1.292191289155121,True,0,2734.577028258888,754.2926162260711,56.71238,26.111458,7660.293,0.9024056987550362,False,,56.71239543638909,22.826168497059506,2.612123812576278,20009.633756611373
-19.86261282312013,60.47268073385288,8330.91003924325,1.1408988528343813,True,0,1371.5125408942204,781.9345692475464,39.46179,25.18582,3542.268,0.7283338532263706,False,,59.32440282312013,35.28686073385288,2.351857634499493,8330.91003924325
58.5068106331551,10.665549904280718,58227.361659571085,0.7981776780130129,True,0,1996.2925270403143,799.6701081612586,100.78483,25.82327,11808.624,0.5022459347060214,False,,42.2780193668449,15.15772009571927,4.930918425344992,7612.440307282688
90.8047198902797,38.055331832836714,18566.820345211694,1.1320181212084832,True,0,3999.8891595615114,795.6406820950061,77.669075,26.013372,4760.6016,0.5025742768787893,False,,13.135644890279693,12.041959832836714,3.9000995893484753,1948.4233413642269
25.123698721894442,100.6600738525205,23999.89360305646,1.1210574739465444,True,0,449.7769296013571,862.9228159457167,59.057224,24.82655,9200.402,0.959396909462752,True,23.49972137998622,33.933525278105556,75.8335238525205,2.608570104116805,4788.147582794268
42.699983382008085,46.466727258194226,13971.123167587231,1.072168859459828,True,0,3482.499021526419,822.6183953033268,50.670105,25.699635,5307.3677,0.883646218036586,False,,7.970121617991914,20.767092258194225,2.632401589131884,2138.048085113973
69.66606694758113,31.001181809837533,6457.339863996745,1.1450721912431754,True,0,1249.721322537112,869.365721997301,72.10232,24.665606,3533.2876,0.6233177684762294,False,,2.436253052418877,6.3355758098375325,1.827572673109527,773.6472719981264
80.46713737181275,37.09366785651864,15148.389373518556,1.0832200899270856,True,0,2820.0117647058823,879.5436974789916,61.135544,25.537079,3879.248,0.5429761156905826,False,,19.33159337181275,11.556588856518644,3.9049809070001595,1688.7181997824416
52.839027458608456,17.63668045950483,36428.71465250084,0.8152678002708547,True,0,1788.63978754225,931.8652824722355,104.90863,24.31232,13342.537,0.8061966880522389,False,,52.069602541391546,6.675639540495183,2.730268962529453,5011.485061783317
256.0340387656526,44.64953639884352,13166.566465844855,0.4355696181385912,True,0,1963.7027839498105,987.1955299960788,234.75648,44.578365,-5674.445,0.6735006868671967,False,,21.2775587656526,0.07117139884352497,-2.3203267395921285,822.8557008704141
64.09325809248455,42.57718828184211,12079.48601065191,1.1222870977557005,True,0,512.6263616557734,918.8899782135076,48.616398,25.718893,4063.901,0.5138034859719526,False,,15.47686009248455,16.85829528184211,2.972386879171493,1508.836844896181
17.07981998483953,176.67334037078382,9449.691016499015,1.127267562652804,True,0,1241.169164882227,990.3543897216274,46.133537,24.520214,4941.4043,0.7372607224725065,False,,29.053717015160466,27.84687362921619,1.9123492923861776,2286.525050575226
-34.671228395542286,80.80624141383768,18689.977183227173,1.001914249883168,True,0,10.22979797979798,941.7525252525252,45.585255,24.703564,4201.5483,0.528409444741741,False,,80.25648339554229,56.10267741383768,4.448354713243965,18689.977183227173
53.23162022835156,31.98245880997043,10539.545099989167,1.1264759048849045,True,0,3906.9241379310342,965.7095785440612,66.17466,26.089426,5392.1562,0.8976195960138954,False,,12.943039771648444,5.893032809970432,1.954606786055116,1444.5647863753966
61.85328381992511,15.374497631650737,32207.84721188339,0.8222384751560721,True,0,2125.300374131481,1016.2955638695884,89.1643,24.999079,12374.023,0.6756050045875229,False,,27.311016180074887,9.624581368349254,2.6028598146199817,4095.2490344652497
25.29842334159972,69.64133770258663,9727.654987427688,1.135420746038066,True,0,583.8403225806452,1052.2806451612903,60.57148,25.490223,6391.579,0.6505338235552094,False,,35.27305665840028,44.151114702586625,1.521948643273859,1934.0220941312948
24.147251612980163,179.1642984683771,51376.583290077935,0.9062715501054275,True,0,1903.3882053457785,1156.320746711922,127.43721,27.226515,17000.059,0.6346308697465186,False,,103.28995838701982,28.06221653162291,3.0221414696312485,10455.176412581022
79.29850783317005,173.87475887736343,14800.334219052027,0.9684048332071281,True,0,1564.9687825182102,1177.9250780437044,44.19841,24.178417,1800.581,0.5869624536879541,False,,35.10009783317005,30.303658122636563,8.219754745302781,1662.0305986726448
44.509825999543054,6.0630118867918465,7623.387982716418,1.2784189635179974,True,0,2703.8933454876938,1208.4302643573385,54.728878,25.176422,2909.8394,0.5984158396887468,False,,10.219052000456948,19.113410113208147,2.61986554402845,1142.6680253948223
6.01633259782995,175.72442054828036,6552.859451508328,1.1361583325319504,True,0,1209.7528662420382,1312.4445859872612,39.13647,25.325191,3626.6382,0.8659575068952201,False,,33.12013740217005,29.600770451719626,1.8068688107648367,2671.5600135672335
43.580077353691195,24.27063978182056,9760.576683381081,1.1274775497791385,True,0,2966.906930693069,1397.0118811881189,49.408672,26.304968,2875.9258,0.5038964829959166,False,,5.828594646308808,2.0343282181794393,3.393890302517917,1478.5345566937287
-8.58454915418827,159.12213375122226,6367.48583606511,1.1454272151594582,True,0,3503.650326797386,1422.6263616557735,47.978058,24.586082,2536.9146,0.6286446919534963,False,,56.56260715418827,45.46394824877774,2.5099330643866016,6367.48583606511
30.223931691021,23.758416132610442,10032.452997372766,1.1678424293709129,True,0,3995.10447761194,1426.9860696517412,49.552094,24.34739,4719.335,0.5605432291963662,False,,19.328162308978996,0.5889738673895693,2.1258192091412806,1824.8688341968736
