ssObjectId,rate,helio,topo,ra,dec,ndet,rabin,decbin
20890967136548172,1.0905969174285122,1.3748564264398784,0.380147605329056,305.8161632448561,-18.403621330153694,2,305,-20
20892066547511374,1.7051311049771423,1.1165991904000827,0.13675001548062565,318.67473590961674,-20.019509890470697,2,315,-25
20892066631594561,1.0856676642533984,1.11780111950693,0.14483557986233023,314.2345077250944,-18.221913746802407,1,310,-20
21163607132026970,1.627079907993664,1.0177174751832996,0.19988742094985862,61.41427623625912,-50.28758834284828,1,60,-55
21163615955464274,0.4261613637613547,1.2240858360451454,0.2961678299929169,297.39456480746014,-17.7243348325269,3,295,-20
21163624528687190,1.3106224985834058,1.2811089528090027,0.41526047670555893,302.72655439774144,-19.804984908687622,1,300,-20
21163628739769165,1.3013826343996184,1.2408622872632158,0.3689625580410284,11.141857873643255,-42.49911865662844,56,10,-45
21163637329769541,1.1380355720068995,1.4655004827403142,0.4991706769270465,314.87211702098756,-19.40733177868485,3,310,-20
21163645836079173,0.9228675127757904,1.2511374132431836,0.23654590654620247,284.10833635483687,-16.30857953561171,1,280,-20
21164706676224599,1.413764992874751,1.208407339447533,0.5525811685325244,56.87058637280659,-49.9883699860544,3,55,-50
21164710970798661,0.9607914812008054,1.2675212314713946,0.44690707193052187,9.614617741588733,-45.80891210500555,2,5,-50
21164715349717827,0.8560282940686496,1.2793796557002302,0.47166831131730896,323.24721770980165,-14.556824637923382,5,320,-15
21164715399983185,0.9703524765163934,1.1484147752075522,0.16410010249867887,324.7336154935918,-21.08111018705092,1,320,-25
21164715416761927,1.6192732005612707,1.2906761120442212,0.2823810555482489,308.1292318077342,-16.67780838943628,13,305,-20
21164719778837581,0.7984728589074952,1.2320833251124683,0.22917880294163864,307.5656533305652,-18.583905599611857,11,305,-20
21164724157689924,0.7332842701963196,1.1324170827206348,0.1198931783527404,303.33145141296416,-17.0730293421011,32,300,-20
21164728234553921,0.4654246266534113,1.1298520502693912,0.2349854989215852,323.2687075401992,-14.674713233330838,13,320,-15
21164732529520724,2.476753458198838,1.0077542267290645,0.08900196167677302,63.752051205515485,-47.77225524594822,2,60,-50
21164736874950724,0.3147930876374262,1.2649346826832724,0.2556147918657893,285.6513295349062,-19.659314187417536,5,285,-20
21164736908571985,1.1530935884815587,1.0577126345002155,0.2681861313377333,57.7401456361887,-47.9363837186339,4,55,-50
21164740951684421,0.5117310532168179,1.1664431958723205,0.16033092181994338,310.58429441599407,-14.334018150040148,7,310,-15
21164741186695748,2.006025634022062,1.202541671011947,0.18694046361014144,296.16110449561324,-16.36163179286703,5,295,-20
21164745447978327,5.064134310012702,1.0785214027038907,0.06531564376802537,302.61875607144765,-16.169294672413454,3,300,-20
21165810599866456,0.6047283328596715,1.1513983365080631,0.1358143513888566,289.27025608919973,-19.0824045096198,18,285,-20
21165810633421130,0.22989576221705377,1.153831576685254,0.14120360363504963,313.2502898743943,-14.647593066536508,16,310,-15
21165810666975566,0.8542585541863134,1.080329261774561,0.2908077543038229,58.54431363192058,-49.4018903073435,3,55,-50
21165810700531777,2.6440142106632525,1.0399970938768737,0.2155015825817031,149.4272694945153,0.4845215535275545,32,145,0
21165814911612496,0.5399481643226598,1.2937582544361232,0.30966039296774306,297.92696719538674,-19.669060376091522,3,295,-20
21165814945166923,0.6684170431099483,1.2865106069366685,0.36269323006194965,315.8294406567877,-13.942317608407226,3,315,-15
21165814978850893,0.7695286638382169,1.2130358200107505,0.25150920318406866,186.1560850342572,6.417977237945804,27,185,5
21165814978918220,0.6990352577860732,1.2017558674373212,0.6672532045199481,149.97840349696577,1.1426827315177226,117,145,0
21165819307241807,0.10582868526857156,1.2395701092406943,0.6733331820681979,64.89071796422598,-48.14673815952787,14,60,-50
21165827612291156,0.4468062835448441,1.1911800203310343,0.19860891115958962,320.0137093065689,-17.705660648156694,24,320,-20
