L_fit,th_fit,flux_fit,rChiSq,ok,image_id,x,y,adcnn_len,adcnn_beta,adcnn_flux,score_rf,tp,truth_len,dlen,dang,flux_ratio,flux_snr
19.51878280991623,34.769958501859584,5153.902111341258,1.1371086440587899,True,0,239.2735368956743,56.54198473282443,36.05911,24.502989,2681.1245,0.5164372060743803,False,,16.540327190083765,10.266969501859585,1.9222912294230494,1166.5673035321786
47.22282921075737,20.859104027913247,7430.555472651504,1.098011909674116,True,0,812.9297071129707,159.7213389121339,56.182693,24.416876,3456.9807,0.5819189915608389,False,,8.959863789242632,3.557771972086755,2.149435046788518,1081.2977001456748
44.48559676645998,27.419600193963774,5908.070854458281,1.1350425882103992,True,0,3099.453479280688,282.0656763096169,61.323658,24.43746,3512.103,0.6100855061594358,False,,16.838061233540024,2.9821401939637724,1.6822031855154251,885.8006295855572
22.688286779307163,17.11791042333221,6994.469168201795,1.1491051064497688,True,0,1490.5437636761487,296.1105032822757,46.345463,24.517687,2652.919,0.6537458394126472,False,,23.65717622069284,7.39977657666779,2.6365181779774636,1468.4322318472662
412.16520376639886,26.902105086959956,22236.094871507365,0.9048717557716428,True,0,1854.003721196508,328.082438814942,320.00085,23.090036,43468.85,0.5402115390527499,False,,92.16435376639885,3.812069086959955,0.5115409050735725,1095.27419592325
42.929458063668,25.58823472277317,9182.02003021681,1.2810078025866292,True,0,2941.865157480315,371.8553149606299,50.05467,24.415394,4108.8145,0.5130224562691647,False,,7.125211936332001,1.17284072277317,2.234712720717085,1401.3949004799051
55.98730658046311,34.76425146956224,8314.3296312832,1.1214058031029064,True,0,2998.8719367588933,483.1106719367589,60.927692,24.8726,1996.9551,0.5124906351804223,False,,4.940385419536888,9.891651469562241,4.163503541608523,1111.174972618934
73.84979868564363,37.27529774176836,9198.642638439374,1.1232154498187856,True,0,463.1748633879781,555.0874316939891,51.201225,24.602493,2132.3386,0.5947228702320397,False,,22.648573685643633,12.672804741768363,4.313875215896469,1070.407366503414
69.12128282329326,30.067273551738566,10874.52243577539,1.1386708879028324,True,0,1398.595223880597,623.3325373134328,76.3914,25.61393,8164.9814,0.8063368485806806,True,58.33176832853101,7.270117176706748,4.453343551738566,1.3318490150847608,1307.9896239121128
7.715250397573342,3.8792843698574866,15058.541203475033,1.374752383420266,True,0,2734.577028258888,754.2926162260711,56.71238,26.111458,7660.293,0.9024056987550362,False,,48.99712960242666,22.232173630142512,1.9657918050229977,5421.355527064815
