#MJD,RA,Dec,observerX,observerY,observerZ,stringID,mag,band,obscode,origindex
60867.2583426,3.8071773,-0.2809381,49169306.590,-143909115.845,7345.399,69,21.500,z,I11,71
60867.3029801,3.9027752,-0.2494746,49277109.140,-143871306.656,6870.710,94,28.227,z,I11,96
60867.3034385,3.9037559,-0.2491509,49278214.235,-143870916.705,6865.288,95,25.746,z,I11,97
60867.2345575,0.8840427,4.6201612,49111729.995,-143929112.060,7547.693,53,21.500,z,I11,55
60867.2631389,0.9183934,4.6348780,49180906.689,-143905070.090,7299.994,74,21.500,z,I11,76
60867.2635973,0.9189432,4.6351138,49182015.285,-143904683.152,7295.577,77,23.539,z,I11,79
60867.3048232,0.9683471,4.6563369,49281552.276,-143869738.543,6848.850,96,21.500,z,I11,98
60867.3052805,0.9688952,4.6565726,49282654.542,-143869349.407,6843.402,97,21.500,z,I11,99
60867.3447011,355.4700021,-1.4994295,49377513.975,-143835699.579,6343.066,133,19.614,z,I11,135
60867.2631389,359.7270241,2.9055480,49180906.689,-143905070.090,7299.994,75,18.805,z,I11,77
60867.2635973,359.7275479,2.9058639,49182015.285,-143904683.152,7295.577,76,17.067,z,I11,78
60867.3194396,7.3427210,3.5288129,49316763.988,-143857285.621,6670.253,101,21.500,z,I11,103
60867.3198956,7.3432580,3.5291169,49317861.902,-143856896.616,6664.540,103,27.152,z,I11,105
60867.3351708,17.5487170,1.1745714,49354611.426,-143843851.826,6468.878,110,23.877,z,I11,112
60867.3516554,17.5634114,1.1894163,49394213.223,-143829745.047,6249.762,136,21.500,z,I11,138
60867.3360799,15.7309916,8.6572516,49356796.766,-143843074.676,6456.991,113,21.500,z,I11,115
60867.3365360,15.7311375,8.6582375,49357893.230,-143842684.694,6451.017,121,23.804,z,I11,123
60867.3360799,16.8562094,7.8315657,49356796.766,-143843074.676,6456.991,118,22.279,z,I11,120
60867.3365360,16.8566445,7.8317528,49357893.230,-143842684.694,6451.017,119,24.340,z,I11,121
60867.3365360,16.3989568,10.6669299,49357893.230,-143842684.694,6451.017,123,21.500,z,I11,125
