L_true,dpa,L_meas
6.0,0.88816833,14.039901733398438
6.0,10.733871,12.207196235656738
6.0,13.85643,13.155427932739258
6.0,6.49955,11.78091812133789
6.0,15.802719,11.951787948608398
6.0,17.345673,12.476831436157227
6.0,24.452438,13.340902328491211
6.0,4.778038,12.061812400817871
6.0,17.33963,10.258544921875
6.0,1.6025238,11.544820785522461
6.0,8.712051,14.629144668579102
8.0,6.053589,11.800819396972656
8.0,6.244156,13.453286170959473
8.0,14.806625,13.707610130310059
8.0,23.367264,15.395953178405762
8.0,53.084732,11.278441429138184
8.0,46.964752,14.763731956481934
8.0,19.485481,11.599946975708008
8.0,4.032181,12.057506561279297
8.0,1.7419281,8.96253776550293
8.0,20.448029,37.8191032409668
10.0,21.37268,11.149505615234375
10.0,15.958817,18.52892303466797
10.0,2.8966522,13.447279930114746
10.0,5.267494,14.437280654907227
10.0,11.5698395,15.65999984741211
10.0,10.1362,13.802924156188965
10.0,2.2304077,17.037866592407227
10.0,14.079407,18.13290023803711
10.0,9.693787,12.161330223083496
10.0,4.9267426,13.211392402648926
10.0,1.951477,14.274187088012695
13.0,14.811554,21.305191040039062
13.0,1.7942963,20.093767166137695
13.0,2.0588226,16.77337646484375
13.0,4.5901947,12.88106918334961
13.0,18.241852,17.879484176635742
13.0,8.255745,20.095651626586914
13.0,18.699692,14.098592758178711
13.0,69.79726,15.278748512268066
13.0,1.5352173,16.996810913085938
13.0,1.1776581,22.71026039123535
13.0,6.8358154,16.70781707763672
17.0,3.8917236,21.241085052490234
17.0,4.4254303,27.336931228637695
17.0,5.094757,17.6014404296875
17.0,2.9552307,22.416921615600586
17.0,5.395279,20.098751068115234
17.0,2.9192276,22.026323318481445
17.0,3.3495178,16.364139556884766
17.0,1.5223083,19.093557357788086
17.0,2.6539536,22.084793090820312
17.0,2.7506409,16.692245483398438
17.0,1.9324722,25.507600784301758
17.0,18.879242,13.773528099060059
22.0,3.6875305,33.99522018432617
22.0,1.7772293,28.351219177246094
22.0,1.233017,31.01619529724121
22.0,5.609894,27.666051864624023
